16	0.000090
32	0.000174
64	0.000323
128	0.000621
256	0.001213
512	0.002478
1024	0.005104
2048	0.010856
4096	0.023583
8192	0.072601
16384	0.143515
32768	0.207936
65536	0.441845
131072	1.108746
